reporting country	age	employment status	sex	time	WORK02: Employment and unemployment
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2013	721400.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2014	727500.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2015	733800.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2016	739200.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2017	739100.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2018	735500.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2019	729300.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2020	721300.0
Denmark	Total (15-24 years)	Total number of persons in age group	Total	2021	718300.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2013	368700.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2014	372000.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2015	375400.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2016	378300.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2017	378200.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2018	376100.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2019	372800.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2020	368500.0
Denmark	Total (15-24 years)	Total number of persons in age group	Men	2021	366900.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2013	352700.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2014	355500.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2015	358400.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2016	360800.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2017	360900.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2018	359400.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2019	356500.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2020	352700.0
Denmark	Total (15-24 years)	Total number of persons in age group	Women	2021	351400.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2013	351500.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2014	358000.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2015	371200.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2016	380800.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2017	385900.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2018	389600.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2019	396200.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2020	378600.0
Denmark	Total (15-24 years)	Employed, number of persons	Total	2021	378900.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2013	173700.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2014	178400.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2015	185900.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2016	186500.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2017	193300.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2018	194300.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2019	199600.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2020	190700.0
Denmark	Total (15-24 years)	Employed, number of persons	Men	2021	195000.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2013	177900.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2014	179600.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2015	185300.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2016	194300.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2017	192600.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2018	195400.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2019	196600.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2020	187900.0
Denmark	Total (15-24 years)	Employed, number of persons	Women	2021	183900.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2013	61100.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2014	59400.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2015	51500.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2016	52800.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2017	54700.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2018	45900.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2019	44300.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2020	49700.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Total	2021	46000.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2013	33700.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2014	32900.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2015	28200.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2016	29200.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2017	28600.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2018	26000.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2019	23100.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2020	27400.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Men	2021	23400.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2013	27400.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2014	26500.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2015	23200.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2016	23600.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2017	26000.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2018	19900.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2019	21200.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2020	22300.0
Denmark	Total (15-24 years)	Unemployed, number of persons	Women	2021	22700.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2013	308800.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2014	310100.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2015	311100.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2016	305600.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2017	298500.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2018	300000.0
